Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Escobar N., Bautista I., Peña N., Fenollosa M.L., Osca J.M., Sanjuán N.","56222039700;6506562366;57195457543;48761234300;55918840500;7003683112;","Life Cycle Thinking for the environmental and financial assessment of rice management systems in the Senegal River Valley",2022,"Journal of Environmental Management","310",,"114722","","",,26,"10.1016/j.jenvman.2022.114722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125496401&doi=10.1016%2fj.jenvman.2022.114722&partnerID=40&md5=6121469bd0a4421808d962957b7bb48e","Agricultural emissions; Crop management; Irrigated rice; Life cycle assessment; Life cycle costing; Sustainability","fresh water; cultivation; decision support system; environmental assessment; fertilizer application; finance; food security; life cycle analysis; management practice; rice; agricultural worker; Article; climate change; crop management; crop rotation; decision support system; dry season; environmental impact; eutrophication; experiential learning; fertilization; fertilizer application; food security; human; life cycle assessment; ozone depletion; paddy rice; plant yield; profit; river; Senegal; sustainable agriculture; thinking; water insecurity; agriculture; animal; life cycle stage; Oryza; procedures; river; Senegal; Saint Louis [Senegal]; Senegal; Senegal River; Agriculture; Animals; Life Cycle Stages; Oryza; Rivers; Senegal",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85125496401
"Liu Y., Yang L., Zhang J., Cui Q.I., Liu Y.U., Nie F., Hu Y.","57203675219;57202223420;57207782075;57490261700;56383915700;57205022391;57490142100;","Aggravating effects of food export restrictions under climate change on food security: An analysis of rice economy based on alternative indicators",2022,"Climate Change Economics","13","2","2240006","","",,6,"10.1142/S2010007822400061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126441902&doi=10.1142%2fS2010007822400061&partnerID=40&md5=6ccb6ef6a3ec9e30ee74ea893fa8a914","CGE model; Climate change; export restrictions; household consumption; self-sufficiency rate",,Article,"Final","",Scopus,2-s2.0-85126441902
"Boly M., Sanou A.","57540967100;57539044400;","Biofuels and food security: evidence from Indonesia and Mexico",2022,"Energy Policy","163",,"112834","","",,31,"10.1016/j.enpol.2022.112834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126741093&doi=10.1016%2fj.enpol.2022.112834&partnerID=40&md5=656a638cf25aedfc6822ca7c828600ab","Biofuels; Food security; Impact assessment","Biodiesel; Bioethanol; Energy utilization; Ethanol; Biodiesel production; Biofuel production; Control methods; Counterfactuals; Food security; Impact assessments; Indonesia; Me-xico; Retrospective analysis; Synthetic control; Food supply; assessment method; biofuel; energy use; export; food security; power generation; Indonesia; Mexico [North America]",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85126741093
"Badawy A., Elmahdi A., Abd El-Hafez S., Ibrahim A.","57463335500;16641902600;56989774000;57191194736;","Water Profitability Analysis to Improve Food Security and Climate Resilience: A Case Study in the Egyptian Nile Delta",2022,"Climate","10","2","17","","",,4,"10.3390/cli10020017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125079941&doi=10.3390%2fcli10020017&partnerID=40&md5=b1561c631403c04a79eb041d23238bd4","Food security; Nile Delta; Water productivity; Water profitability; Water security",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125079941
"Han X., Chen Y., Wang X.","59361307200;56451244900;57195268376;","Impacts of China’s bioethanol policy on the global maize market: a partial equilibrium analysis to 2030",2022,"Food Security","14","1",,"147","163",,34,"10.1007/s12571-021-01212-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115054693&doi=10.1007%2fs12571-021-01212-5&partnerID=40&md5=32ca22b7c5a24a1736747c52a01a4ce1","Bioethanol policy; China; Global maize market; Partial equilibrium analysis","biofuel; crop production; food market; food product; food production; food security; macroeconomics; maize; spatiotemporal analysis; strategic approach; China",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85115054693
"Alola A.A.","57202608331;","The nexus of renewable energy equity and agricultural commodities in the United States: Evidence of regime-switching and price bubbles",2022,"Energy","239",,"122377","","",,34,"10.1016/j.energy.2021.122377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117791382&doi=10.1016%2fj.energy.2021.122377&partnerID=40&md5=2e59a8a20c5cabb1af24b1c4dddc957f","Agricultural prices; Frequency domain causality; Renewable energy equity; Speculative bubbles; United States","Agricultural products; Agricultural robots; Costs; Economics; Natural resources; Renewable energy resources; Statistical tests; Agricultural commodities; Agricultural price; Energy equity; Frequency domain causality; Frequency domains; Regime switching; Renewable energies; Renewable energy equity; Speculative bubble; United state; Frequency domain analysis; alternative energy; commodity; energy efficiency; Granger causality test; policy making; United States; Glycine max",Article,"Final","",Scopus,2-s2.0-85117791382
"Choudhary D., Banskota K., Khanal N.P., McDonald A.J., Krupnik T.J., Erenstein O.","55191062000;57196420458;36559685000;57211004984;55183790300;14022746600;","Rice Subsector Development and Farmer Efficiency in Nepal: Implications for Further Transformation and Food Security",2022,"Frontiers in Sustainable Food Systems","5",,"740546","","",,20,"10.3389/fsufs.2021.740546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123764666&doi=10.3389%2ffsufs.2021.740546&partnerID=40&md5=717cc0517fab165d085c2c7e6c16f143","agriculture transformation; efficiency; inclusive growth; market system; rice",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123764666
"Zhan S.","37090053400;","The Political Economy of Food Import and Self-reliance in China: 1949-2019",2022,"Global Food History","8","3",,"194","212",,14,"10.1080/20549547.2021.2012082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164549954&doi=10.1080%2f20549547.2021.2012082&partnerID=40&md5=1c86a47f4e925a47a6a4bec4fac173a9","China; dual strategy; food crisis; food import; Food security; self-reliance",,Article,"Final","",Scopus,2-s2.0-85164549954
"Ali B.M., Manikas I., Sundarakani B.","57226095545;14065239200;25655467900;","Food security in the United Arab Emirates: External cereal supply risks",2022,"Cogent Economics and Finance","10","1","2149491","","",,14,"10.1080/23322039.2022.2149491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142746967&doi=10.1080%2f23322039.2022.2149491&partnerID=40&md5=3cfbfb6801d8ea90b7fcce0e56e70f2f","Cereals; COVID-19; food security; import dependency; risk; United Arab Emirates",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85142746967
"Cao C., Yuan G.","57814063900;57447296700;","Foreign trade and virtual land resources: A case study of China's grain",2022,"Agricultural Economics (Czech Republic)","68","7",,"259","270",,8,"10.17221/85/2022-AGRICECON","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134658374&doi=10.17221%2f85%2f2022-AGRICECON&partnerID=40&md5=5df147bea3a7620621cdbb1a21d2bda8","evolution trend; food security; grain trade; virtual land use",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85134658374
"Shaheen S., Almas L.K., Usman M.","57196416512;57204205465;56844860100;","Wheat Consumption Determinants and Food Security Challenges: Evidence from Pakistan",2022,"WSEAS Transactions on Environment and Development","18",,"42","427","441",,6,"10.37394/232015.2022.18.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129774400&doi=10.37394%2f232015.2022.18.42&partnerID=40&md5=e9d3ea1a550b44994f82a39d9737bcc2","Autoregressive Distribute Lag (ARDL); Cross Price Elasticity; Food Security; Income Elasticity; Own Price Elasticity; Wheat Consumption Determinants; Wheat Supply and Demand Gap",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85129774400
"Yusuf M., Usman A.","58041123700;57212930453;","Development of local staple food in supporting food security: A case study in North Lombok, West Nusa Tenggara",2022,"IOP Conference Series: Earth and Environmental Science","1107","1","012032","","",,2,"10.1088/1755-1315/1107/1/012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145487543&doi=10.1088%2f1755-1315%2f1107%2f1%2f012032&partnerID=40&md5=267f44ed3b8d67abb896995fea807601",,,Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85145487543
"Ndiaye M.F.","57931061200;","IMPACTS OF THE AFRICAN CFA FRANC DEVALUATION ON CEREAL YIELDS AND FOOD SECURITY IN WEST AFRICA",2022,"African Journal of Food, Agriculture, Nutrition and Development","22","8",,"21099","21126",,1,"10.18697/ajfand.113.20565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140736983&doi=10.18697%2fajfand.113.20565&partnerID=40&md5=b8cefd9c6c17cb402de7a17a0444a85f","Africa; Cereal; Consumption; Currency; Devaluation; Development; Difference in difference; Exports; Food; Yields",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85140736983
"Nasir J., Nasir B., Ashfaq M.","57210587445;57210205971;57223453248;","Integrated impact assessment of climate change vulnerability and adaptations for agricultural production system of Punjab, Pakistan",2022,"Pakistan Journal of Agricultural Sciences","59","5",,"885","890",,,"10.21162/PAKJAS/22.79","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141179384&doi=10.21162%2fPAKJAS%2f22.79&partnerID=40&md5=c4f99a1d6cffccd67cc72c9b3d5d1099","adaptations; agricultural production system; Climate change; integrated assessment; vulnerability",,Article,"Final","",Scopus,2-s2.0-85141179384
"Runge C.F.","23393495600;","Famine and Free Trade in the Covid Age: Lessons from the Great Irish Famine",2022,"Journal of World Trade","56","3",,"453","470",,,"10.54648/trad2022018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128371770&doi=10.54648%2ftrad2022018&partnerID=40&md5=e08a946997f2b6378e9e68dd8d8f91f1","Corn Laws; COVID-19; Great Irish Famine; Potato Blight; Robert Peel; Tariffs","COVID-19; export; famine; food market; food policy; food supply; free trade; leadership; political process; supply chain management; tariff structure; trade policy; Ireland",Article,"Final","",Scopus,2-s2.0-85128371770
"Onumah E.E., Addey Owusu P., Mensah-Bonsu A., Acquah Degraft H.","35810941000;57803028400;36714035800;57802566100;","Rice price volatility and transmission: implications for food security in Ghana",2022,"Cogent Economics and Finance","10","1","2085605","","",,12,"10.1080/23322039.2022.2085605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134164991&doi=10.1080%2f23322039.2022.2085605&partnerID=40&md5=414d28523526f491b8758b6af83b07cf","food security; market integration; Price transmission; volatility",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85134164991
"Lindawati, Emalisa, Zulfida I.","57225185752;57216501463;57209421906;","Analysis of rice supply determinants in North Sumatera",2022,"IOP Conference Series: Earth and Environmental Science","977","1","012056","","",,,"10.1088/1755-1315/977/1/012056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135183873&doi=10.1088%2f1755-1315%2f977%2f1%2f012056&partnerID=40&md5=28c5d639dada451db2705ef08486c42d",,,Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85135183873
"Satoto B.D., Anamisa D.R., Yusuf M., Sophan M.K., Alamsyah N., Irmawati B.","57201197655;57189682005;58912361400;55070840300;57193138219;55963523600;","Rice disease classification based on leaf damage using deep learning",2022,"Proceedings - International Conference on Informatics and Computational Sciences","2022-September",,,"42","47",,,"10.1109/ICICoS56336.2022.9930567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146198875&doi=10.1109%2fICICoS56336.2022.9930567&partnerID=40&md5=dc2f3095909e05c58dbacba3be026657","convex hull; convolutional neural network; data augmentation; deep learning; rice leaf","Computational geometry; Convolution; Convolutional neural networks; Learning algorithms; Plants (botany); Convex hull; Convolutional neural network; Data augmentation; Deep learning; Disease classification; Food security; Leaf damage; Rice leaves; Seed quality; Staple food; Deep learning",Conference Paper,"Final","",Scopus,2-s2.0-85146198875
"Al-Ababneh H.A., Osmonova A., Dumanska I., Matkovskyi P., Kalynovskyy A.","57210107560;57213422889;57223702382;57445482400;57220803593;","ANALYSIS OF EXPORT OF AGRICULTURAL PRODUCTS IN THE CONTEXT OF THE GLOBAL FOOD CRISIS",2021,"Agricultural and Resource Economics","7","4",,"5","26",,13,"10.51599/ARE.2021.07.04.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124324198&doi=10.51599%2fARE.2021.07.04.01&partnerID=40&md5=15c5b5781cbf439f1bf44632f3fa93b7","Agricultural production; Export; Export potential; Food security; Integration",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124324198
"Hunt E., Femia F., Werrell C., Christian J.I., Otkin J.A., Basara J., Anderson M., White T., Hain C., Randall R., McGaughey K.","16245188700;57194580906;57194584017;56937891400;6602403713;6602428005;7404764644;56478082100;57203255846;58582563100;57209010190;","Agricultural and food security impacts from the 2010 Russia flash drought",2021,"Weather and Climate Extremes","34",,"100383","","",,78,"10.1016/j.wace.2021.100383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115980725&doi=10.1016%2fj.wace.2021.100383&partnerID=40&md5=3628761de4eeedb975520f73fac237d8","Flash drought; Food security; Heat wave; Russia; Wheat","agriculture; drought; food security; heat wave; poverty; water stress; wheat; Australia; Egypt; Mozambique; Russian Federation; Matthiola",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115980725
"Lan N.T.P., Van Kien N.","14013220400;59427842700;","Back to Nature-Based Agriculture: Green Livelihoods Are Taking Root in the Mekong River Delta",2021,"Journal of People, Plants, and Environment","24","6",,"551","561",,8,"10.11628/KSPPE.2021.24.6.551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125866294&doi=10.11628%2fKSPPE.2021.24.6.551&partnerID=40&md5=ee6f3de1c894ac3821af49a54bdbdfdf","Eco-agriculture; Organic agriculture; Sustainability; Traditional agriculture; Vietnam",,Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125866294
"Fathonah F.I., Mashilal","58075028100;58073966200;","Rice Production Analysis in Reflecting Rice Self-sufficiency in Indonesia",2021,"E3S Web of Conferences","316",,"02041","","",,5,"10.1051/e3sconf/202131602041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146649851&doi=10.1051%2fe3sconf%2f202131602041&partnerID=40&md5=fdd722c886250aa590c91a1f53d6506b",,,Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146649851
"Bagnall D.K., Shanahan J.F., Flanders A., Morgan C.L.S., Honeycutt C.W.","57205145956;7006499036;7006675027;11940015400;7004535722;","Soil health considerations for global food security",2021,"Agronomy Journal","113","6",,"4581","4589",,50,"10.1002/agj2.20783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111900282&doi=10.1002%2fagj2.20783&partnerID=40&md5=32bbb4f6b02f91ad6ff8a2ce2f537e33",,,Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85111900282
"Yigezu Y.A., Moustafa M.A., Mohiy M.M., Ibrahim S.E., Ghanem W.M., Niane A.-A., Abbas E., Sabry S.R.S., Halila H.","6504558700;56496476400;57255425300;59797592100;57255539800;36118091600;57222101881;57225369752;57201973908;","Food losses and wastage along the wheat value chain in egypt and their implications on food and energy security, natural resources, and the environment",2021,"Sustainability (Switzerland)","13","18","10011","","",,18,"10.3390/su131810011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114746813&doi=10.3390%2fsu131810011&partnerID=40&md5=071e26735454e066224e293a781bc926","Food and energy security; Food loss; Food waste; Natural resources and environment; Value chain; Wheat","carbon dioxide; crop production; crop yield; dryland farming; estimation method; food security; food supply; food waste; legume; methane; wheat; Egypt; Fabaceae",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85114746813
"Luo P., Tanaka T.","57226467058;55727256500;","Food import dependency and national food security: A price transmission analysis for the wheat sector",2021,"Foods","10","8","1715","","",,31,"10.3390/foods10081715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111702448&doi=10.3390%2ffoods10081715&partnerID=40&md5=935ec058e8b94e6a5b02b4fa1e444cd4","DCC; GARCH; Import dependency; Price volatility transmission; Wheat",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85111702448
"Liu B., Gu W., Yang Y., Lu B., Wang F., Zhang B., Bi J.","55901082700;57226802571;37113902900;57226790114;58367778500;57219488478;35228683700;","Promoting potato as staple food can reduce the carbon–land–water impacts of crops in China",2021,"Nature Food","2","8",,"570","577",,118,"10.1038/s43016-021-00337-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112691229&doi=10.1038%2fs43016-021-00337-2&partnerID=40&md5=6d8044f4ed310d88ffb8169a9a02ea62",,"Article; China; crop; environmental sustainability; food security; maize; potato; rice; wheat; article; catering service; controlled study; greenhouse gas emission; nonhuman; staple food; supply chain; water; water demand; carbon",Article,"Final","",Scopus,2-s2.0-85112691229
"Wolffe M.C., Wild O., Long S.P., Ashworth K.","58431269200;6701636816;7402506808;35188572000;","Temporal variability in the impacts of particulate matter on crop yields on the North China Plain",2021,"Science of the Total Environment","776",,"145135","","",,15,"10.1016/j.scitotenv.2021.145135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101618864&doi=10.1016%2fj.scitotenv.2021.145135&partnerID=40&md5=12dd63385d7fc1d23e626e98b720c749","Aerosol radiation interactions; Air pollution; Crop modelling; Diffuse light; PM","Agricultural robots; Air quality; Crops; Food supply; Landforms; Anthropogenic factors; Global food security; National Air Quality Standards; Particulate Matter; Plant productivity; Reproductive stage; Short-wave radiation; Temporal variability; Particles (particulate matter); carbon; aerosol; air quality; atmospheric pollution; concentration (composition); crop yield; diffusion; particulate matter; radiative transfer; source apportionment; spatiotemporal analysis; aerosol; air pollution; Article; biomass; carbon allocation; China; city; controlled study; environmental impact; food security; harvest; maize; nonhuman; particulate matter; plant development; plant growth; radiation; China; North China Plain",Article,"Final","",Scopus,2-s2.0-85101618864
"Mobarok M.H., Thompson W., Skevas T.","57224408271;16305550100;40262429000;","COVID-19 and policy impacts on the Bangladeshi rice market and food security",2021,"Sustainability (Switzerland)","13","11","5981","","",,9,"10.3390/su13115981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107491128&doi=10.3390%2fsu13115981&partnerID=40&md5=e226b13898be642df104f4990f2d5362","Bangladesh; COVID-19; Food security; Partial equilibrium; Rice","agricultural market; COVID-19; food availability; food security; health policy; rice; stock enhancement; Sustainable Development Goal; Bangladesh",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107491128
"Tanaka T., Geyik Ö., Karapinar B.","55727256500;57209798531;16833389900;","Short-term implications of climate shocks on wheat-based nutrient flows: A global “nutrition at risk” analysis through a stochastic cge model",2021,"Foods","10","6","1414","","",,5,"10.3390/foods10061414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109048449&doi=10.3390%2ffoods10061414&partnerID=40&md5=575784663686069fb4512758f374ac1c","Computable general equilibrium models; Export restrictions; International trade; Nutrition security; Productivity shocks; Wheat yields",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85109048449
"Fridman D., Koellner T., Kissinger M.","57200582105;6507337126;16245329400;","Exploring global interregional food system's sustainability using the functional regions typology",2021,"Global Environmental Change","68",,"102276","","",,11,"10.1016/j.gloenvcha.2021.102276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104647987&doi=10.1016%2fj.gloenvcha.2021.102276&partnerID=40&md5=e547f2e300d5e800f64661b99938edb6","Food-system-sustainability; Functional-regions; International-trade; Interregional-sustainability; Land-use-archetypes; Tele-coupling","ecosystem service; environmental impact; farming system; food security; food supply; sustainability; typology; Glycine max",Article,"Final","",Scopus,2-s2.0-85104647987
"Cordell D., Dominish E., Esham M., Jacobs B., Nanda M.","26026606900;57201485836;54977456700;8615682100;57201682730;","Adapting food systems to the twin challenges of phosphorus and climate vulnerability: the case of Sri Lanka",2021,"Food Security","13","2",,"477","492",,7,"10.1007/s12571-020-01118-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101264891&doi=10.1007%2fs12571-020-01118-8&partnerID=40&md5=71196e5dd009724197fafc321d2c9d45","Adaptation; Climate change; Food systems; Phosphorus scarcity; Sri Lanka; Vulnerability assessment","adaptive management; climate change; fertilizer application; food production; food security; island state; price dynamics; rainfed agriculture; rice; soil nutrient; spatiotemporal analysis; Sri Lanka",Article,"Final","All Open Access",Scopus,2-s2.0-85101264891
